topic_no,1979_prop,2019_prop,abs_change,abs_change_percent,overall_change,max_ascent_percent,max_descent_percent
1,0.01148330080747008,0.009128003150853253,-0.002355297656616828,-20.510632753647513,0.012313643424423022,0.14000404187820092,0.23833426592211804
2,0.009563412962761196,0.010215120165770412,0.0006517072030092167,6.8145881135415545,0.00816318648801958,0.1871645628590986,0.10025457754318857
3,0.008133361354663238,0.008899155907844371,0.000765794553181133,9.415474362786881,0.008474096451618167,0.2689634329126423,0.1123352235485549
4,0.010347871205202502,0.01177694056296083,0.001429069357758328,13.810273914501837,0.014389454889466663,0.4276781567419795,0.19771552427410768
5,0.010878929244067177,0.009368012965949087,-0.0015109162781180904,-13.888464978684079,0.0209217345185618,0.7839750489342875,0.4442380500716483
6,0.007742973963518753,0.011147773970750383,0.0034048000072316297,43.972768386842624,0.00611006837101479,0.5171512357615397,0.06864613628705099
7,0.01048367968302748,0.009837860891465565,-0.0006458187915619144,-6.160230101339901,0.005095272851661661,0.07659682408389705,0.07341869501086301
8,0.008341005786123724,0.013539714082421345,0.005198708296297622,62.32711533357649,0.006867310804548454,0.696622703461721,0.06142675463564164
9,0.01160565415575431,0.008330446759651592,-0.003275207396102719,-28.220790936448907,0.007247447234379156,0.05179455431166418,0.2822079093644891
10,0.01019952870583981,0.008768662721149695,-0.001430865984690114,-14.028746091678354,0.004207844692685727,0.02824106896024029,0.15473126103587834
11,0.00978331302421144,0.00938425417265903,-0.00039905885155241093,-4.078974582177146,0.006894131543388532,0.08189914571140007,0.12799864276679918
12,0.011922982191226464,0.010219893704590227,-0.0017030884866362367,-14.284081443059234,0.009722550392995806,0.10816048884113455,0.2265026643696826
13,0.012252719897132875,0.008743158671867899,-0.0035095612252649764,-28.64311968876568,0.012806881571741141,0.1043956888195475,0.31386883981572294
14,0.009101392045359225,0.010537232832614,0.001435840787254776,15.776056894361643,0.0055355619310363605,0.23372485745911126,0.06368395500967439
15,0.011103144514958889,0.008716874590088018,-0.0023862699248708708,-21.491838835889514,0.0049700019143911894,0.04952803440719816,0.21609904016311285
16,0.010329355226450104,0.009170930826563242,-0.0011584243998868614,-11.214876190147038,0.006406757292726304,0.06328706464352055,0.19408993247122153
17,0.009824373943233674,0.010277121083224594,0.00045274713999091977,4.608407035470587,0.00651945023117567,0.1773782722559967,0.11004393759691725
18,0.010372325785051465,0.009777180184024794,-0.0005951456010266712,-5.737822098534464,0.009446853596752583,0.14355467840818237,0.1876088809977171
19,0.012375850041771838,0.009265747916117874,-0.0031101021256539647,-25.130412174974076,0.00578427636073711,0.031324292791115795,0.2689615254904965
20,0.009338889825817358,0.010894152752467346,0.0015552629266499876,16.65361681803402,0.010169032583385411,0.288604499417984,0.11849350368347654
21,0.008912816916858779,0.009662006111429861,0.0007491891945710823,8.405750971435028,0.0076677989415523465,0.25405972791874465,0.07573008360052434
22,0.009799604711902419,0.009939656038824301,0.00014005132692188234,1.4291528182945847,0.00800690390083446,0.1392349682342674,0.10636535281831284
23,0.014479357159594086,0.008202247415658469,-0.0062771097439356174,-43.35213003414572,0.03908554138407675,0.8072059200072133,0.6357732887989119
